h3,counts,min_depth,max_depth,salinity,min_salinity,max_salinity,temperature,min_temperature,max_temperature,oxygen,min_oxygen,max_oxygen,latitude,longitude
84044a7ffffffff,3,101.0,101.0,33.7,33.7,33.7,-1.4,-1.4,-1.4,4.9,4.9,4.9,72.441,-176.20071
8406299ffffffff,1,383.0,383.0,,,,,,,,,,66.11468,-26.72872
84062d7ffffffff,1,620.0,620.0,,,,,,,,,,66.47073,-26.23461
840660bffffffff,2,585.0,765.0,,,,,,,,,,61.86975,-26.90582
8406663ffffffff,1,1392.0,1392.0,,,,,,,,,,62.91825,-27.28358
8406681ffffffff,1,1076.0,1076.0,,,,,,,,,,59.65781,-29.98741
84066bbffffffff,1,1436.0,1436.0,,,,,,,,,,58.87,-31.42572
840674bffffffff,1,546.0,546.0,,,,,,,,,,64.68376,-27.68589
8406761ffffffff,3,423.0,423.0,,,,,,,,,,65.71183,-30.01788
8406763ffffffff,3,477.0,477.0,,,,,,,,,,65.34015,-30.45282
8406d37ffffffff,1,596.0,596.0,,,,,,,,,,66.6076,-57.07223
8406d89ffffffff,4,82.0,82.0,,,,,,,,,,64.7434,-53.74086
8406dbbffffffff,1,1200.0,1200.0,,,,,,,,,,63.49765,-55.67694
8407135ffffffff,1,265.0,265.0,,,,,,,,,,74.28994,-16.43116
8407525ffffffff,1,107.0,107.0,,,,,,,,,,68.18821,-22.55183
8407647ffffffff,1,351.0,351.0,,,,,,,,,,64.32089,-11.23298
8407addffffffff,2,189.0,189.0,,,,,,,,,,74.06036,-18.6241
840815bffffffff,1,65.0,65.0,,,,,,,,,,63.65261,10.57809
8409083ffffffff,1,30.0,30.0,,,,,,,,,,67.10629,2.64165
840c021ffffffff,4,9.0,18.0,,,,4.75,3.0,10.7,,,,63.90299,-161.15467
840c025ffffffff,4,13.0,18.0,,,,9.3,6.0,14.3,,,,63.82301,-162.07392
840c02dffffffff,3,13.0,15.0,,,,8.7,6.7,9.9,,,,64.20434,-161.72668
840c101ffffffff,22,15.0,24.0,,,,7.6,3.9,15.0,,,,63.83379,-165.42435
840c103ffffffff,3,9.0,18.0,,,,11.7,11.2,12.5,,,,63.54717,-164.80978
840c105ffffffff,16,22.0,33.0,,,,4.7,0.8,8.7,,,,63.72609,-166.33716
840c107ffffffff,18,15.0,27.0,,,,7.05,3.0,11.9,,,,63.44337,-165.71298
840c109ffffffff,10,13.0,33.0,,,,9.0,7.1,10.9,,,,64.2248,-165.1267
840c10bffffffff,15,13.0,22.0,,,,9.3,6.4,11.3,,,,63.93551,-164.50646
840c10dffffffff,19,16.0,31.0,,,,7.0,2.1,14.7,,,,64.11914,-166.05462
840c119ffffffff,3,13.0,15.0,,,,7.7,7.0,8.3,,,,63.73703,-162.98982
840c11dffffffff,4,15.0,18.0,,,,8.6,7.6,10.7,,,,63.64507,-163.90192
840c121ffffffff,3,22.0,33.0,,,,5.6,0.6,6.2,,,,63.21824,-167.50379
840c123ffffffff,1,28.0,28.0,,,,4.2,4.2,4.2,,,,62.94206,-166.87687
840c125ffffffff,1,39.0,39.0,,,,0.7,0.7,0.7,,,,63.09703,-168.39061
840c127ffffffff,2,34.0,35.0,,,,1.45,1.2,1.7,,,,62.82485,-167.75533
840c129ffffffff,4,22.0,31.0,,,,4.3,0.7,5.2,,,,63.61245,-167.24447
840c12bffffffff,10,20.0,27.0,,,,6.25,2.9,9.0,,,,63.33371,-166.61112
840c12dffffffff,3,27.0,27.0,,,,0.5,0.5,1.3,,,,63.49293,-168.14587
840c139ffffffff,1,15.0,15.0,,,,7.5,7.5,7.5,,,,63.1594,-165.10405
840c13dffffffff,8,16.0,24.0,,,,7.9,6.8,10.3,,,,63.0536,-165.99298
840c145ffffffff,2,15.0,26.0,,,,4.95,2.4,7.5,,,,64.79935,-166.41615
840c147ffffffff,11,15.0,29.0,,,,10.8,6.6,11.8,,,,64.5128,-165.7631
840c151ffffffff,6,13.0,20.0,,,,9.55,7.5,12.3,,,,64.41773,-163.25604
840c153ffffffff,12,13.0,22.0,,,,6.3,4.7,8.4,,,,64.12082,-162.65717
840c155ffffffff,33,11.0,31.0,,,,9.7,7.2,12.8,,,,64.32435,-164.19369
840c157ffffffff,22,13.0,22.0,,,,8.350000000000001,5.6,12.5,,,,64.0312,-163.58392
840c15bffffffff,8,9.0,20.0,,,,7.0,3.9,13.1,,,,64.50492,-162.31423
840c161ffffffff,4,29.0,35.0,,,,2.1500000000000004,1.4,2.8,,,,64.28719,-167.63296
840c163ffffffff,13,27.0,35.0,,,,3.6,2.0,7.7,,,,64.00741,-166.97701
840c167ffffffff,1,35.0,35.0,,,,1.1,1.1,1.1,,,,63.88968,-167.89344
840c169ffffffff,3,26.0,31.0,,,,5.1,0.6,7.0,,,,64.68542,-167.36406
840c16bffffffff,14,22.0,31.0,,,,3.9,0.7,10.5,,,,64.40307,-166.70104
840c301ffffffff,3,17.0,21.0,31.9,31.9,31.9,1.9,1.9,1.9,7.0,7.0,7.0,66.57913,-163.1264
840c303ffffffff,1,15.0,15.0,,,,,,,,,,66.27336,-162.47207
840c307ffffffff,1,14.0,14.0,31.9,31.9,31.9,1.9,1.9,1.9,7.0,7.0,7.0,66.18614,-163.48777
840c30bffffffff,1,12.0,12.0,,,,,,,,,,66.66356,-162.09261
840c30dffffffff,1,24.0,24.0,,,,,,,,,,66.8835,-163.80011
840c361ffffffff,1,29.0,29.0,,,,,,,,,,67.08605,-165.54918
840c36bffffffff,2,24.0,24.0,,,,,,,,,,67.1863,-164.49389
840c403ffffffff,27,66.0,207.0,,,,7.15,5.3,7.7,,,,59.8319,-146.84689
840c405ffffffff,5,124.0,274.0,,,,6.1,5.0,6.9,,,,60.15121,-147.91577
840c407ffffffff,18,85.0,130.0,,,,5.9,5.2,8.3,,,,59.83547,-147.60521
840c409ffffffff,8,70.0,194.0,,,,,,,,,,60.46138,-146.67901
840c40bffffffff,11,60.0,116.0,,,,6.4,6.2,7.7,,,,60.142,-146.38154
840c411ffffffff,23,82.0,518.0,,,,5.6,3.7,8.9,,,,59.50743,-145.80904
840c415ffffffff,31,69.0,174.0,,,,6.2,5.2,7.6,,,,59.51635,-146.55418
840c417ffffffff,5,205.0,407.0,,,,5.4,4.2,6.0,,,,59.2022,-146.26874
840c419ffffffff,10,79.0,118.0,,,,6.5,5.8,6.8,,,,59.81184,-145.3397
840c41bffffffff,90,117.0,701.0,,,,4.3,4.0,6.2,,,,59.49434,-145.06721
840c41dffffffff,42,66.0,108.0,,,,6.8,5.3,7.5,,,,59.82401,-146.09165
840c421ffffffff,20,75.0,255.0,,,,5.8,5.2,6.9,,,,59.82946,-149.13003
840c423ffffffff,13,88.0,219.0,,,,5.4,5.0,6.1,,,,59.51753,-148.80717
840c425ffffffff,5,113.0,320.0,,,,6.0,6.0,6.0,,,,59.81978,-149.89603
840c427ffffffff,40,94.0,243.0,,,,5.949999999999999,4.4,6.2,,,,59.50924,-149.56321
840c42bffffffff,11,106.0,190.0,,,,5.45,4.4,6.4,,,,59.83468,-148.36634
840c431ffffffff,96,111.0,670.0,,,,5.5,4.0,6.1,,,,59.20949,-147.74835
840c433ffffffff,10,255.0,846.0,,,,3.7,3.5,3.7,,,,58.89886,-147.45066
840c435ffffffff,92,101.0,236.0,,,,5.6,4.5,6.1,,,,59.20681,-148.49224
840c437ffffffff,102,133.0,865.0,,,,4.2,3.5,5.9,,,,58.89735,-148.18496
840c439ffffffff,21,101.0,211.0,,,,5.9,5.0,6.8,,,,59.52104,-147.30241
840c43bffffffff,14,173.0,686.0,,,,5.300000000000001,4.0,5.8,,,,59.20794,-147.00711
840c43dffffffff,28,77.0,214.0,,,,5.4,5.1,5.8,,,,59.52145,-148.05349
840c441ffffffff,1,203.0,203.0,,,,,,,,,,61.09627,-146.50289
840c443ffffffff,6,97.0,183.0,,,,6.1,5.8,6.7,,,,60.77307,-146.20056
840c447ffffffff,3,117.0,179.0,,,,6.9,6.9,8.3,,,,60.7821,-146.98432
840c453ffffffff,7,29.0,115.0,,,,6.35,5.3,10.3,,,,60.11533,-144.86048
840c455ffffffff,3,43.0,70.0,,,,7.4,7.2,7.6,,,,60.45124,-145.9061
